job_id,workload,node_id,input_tokens,output_tokens,shared_prefix_token_len,private_prefix_token_len,shared_prefix_ratio
debate_job_0,debate,debate_job_0_r0_proposer_0,2048,128,1024,1024,0.5
debate_job_0,debate,debate_job_0_r0_proposer_1,2048,128,1024,1024,0.5
debate_job_0,debate,debate_job_0_r0_proposer_2,2048,128,1024,1024,0.5
debate_job_0,debate,debate_job_0_r0_proposer_3,2048,128,1024,1024,0.5
debate_job_0,debate,debate_job_0_r0_critic_0,2176,128,1088,1088,0.5
debate_job_0,debate,debate_job_0_r0_critic_1,2176,128,1088,1088,0.5
debate_job_0,debate,debate_job_0_r0_critic_2,2176,128,1088,1088,0.5
debate_job_0,debate,debate_job_0_r0_critic_3,2176,128,1088,1088,0.5
debate_job_0,debate,debate_job_0_r0_judge,2560,64,1280,1280,0.5
debate_job_1,debate,debate_job_1_r0_proposer_0,2048,128,1024,1024,0.5
debate_job_1,debate,debate_job_1_r0_proposer_1,2048,128,1024,1024,0.5
debate_job_1,debate,debate_job_1_r0_proposer_2,2048,128,1024,1024,0.5
debate_job_1,debate,debate_job_1_r0_proposer_3,2048,128,1024,1024,0.5
debate_job_1,debate,debate_job_1_r0_critic_0,2176,128,1088,1088,0.5
debate_job_1,debate,debate_job_1_r0_critic_1,2176,128,1088,1088,0.5
debate_job_1,debate,debate_job_1_r0_critic_2,2176,128,1088,1088,0.5
debate_job_1,debate,debate_job_1_r0_critic_3,2176,128,1088,1088,0.5
debate_job_1,debate,debate_job_1_r0_judge,2560,64,1280,1280,0.5
debate_job_2,debate,debate_job_2_r0_proposer_0,2048,128,1024,1024,0.5
debate_job_2,debate,debate_job_2_r0_proposer_1,2048,128,1024,1024,0.5
debate_job_2,debate,debate_job_2_r0_proposer_2,2048,128,1024,1024,0.5
debate_job_2,debate,debate_job_2_r0_proposer_3,2048,128,1024,1024,0.5
debate_job_2,debate,debate_job_2_r0_critic_0,2176,128,1088,1088,0.5
debate_job_2,debate,debate_job_2_r0_critic_1,2176,128,1088,1088,0.5
debate_job_2,debate,debate_job_2_r0_critic_2,2176,128,1088,1088,0.5
debate_job_2,debate,debate_job_2_r0_critic_3,2176,128,1088,1088,0.5
debate_job_2,debate,debate_job_2_r0_judge,2560,64,1280,1280,0.5
debate_job_3,debate,debate_job_3_r0_proposer_0,2048,128,1024,1024,0.5
debate_job_3,debate,debate_job_3_r0_proposer_1,2048,128,1024,1024,0.5
debate_job_3,debate,debate_job_3_r0_proposer_2,2048,128,1024,1024,0.5
debate_job_3,debate,debate_job_3_r0_proposer_3,2048,128,1024,1024,0.5
debate_job_3,debate,debate_job_3_r0_critic_0,2176,128,1088,1088,0.5
debate_job_3,debate,debate_job_3_r0_critic_1,2176,128,1088,1088,0.5
debate_job_3,debate,debate_job_3_r0_critic_2,2176,128,1088,1088,0.5
debate_job_3,debate,debate_job_3_r0_critic_3,2176,128,1088,1088,0.5
debate_job_3,debate,debate_job_3_r0_judge,2560,64,1280,1280,0.5
debate_job_4,debate,debate_job_4_r0_proposer_0,2048,128,1024,1024,0.5
debate_job_4,debate,debate_job_4_r0_proposer_1,2048,128,1024,1024,0.5
debate_job_4,debate,debate_job_4_r0_proposer_2,2048,128,1024,1024,0.5
debate_job_4,debate,debate_job_4_r0_proposer_3,2048,128,1024,1024,0.5
debate_job_4,debate,debate_job_4_r0_critic_0,2176,128,1088,1088,0.5
debate_job_4,debate,debate_job_4_r0_critic_1,2176,128,1088,1088,0.5
debate_job_4,debate,debate_job_4_r0_critic_2,2176,128,1088,1088,0.5
debate_job_4,debate,debate_job_4_r0_critic_3,2176,128,1088,1088,0.5
debate_job_4,debate,debate_job_4_r0_judge,2560,64,1280,1280,0.5
moa_job_0,moa,moa_job_0_l0_agent_0,2048,128,1024,1024,0.5
moa_job_0,moa,moa_job_0_l0_agent_1,2048,128,1024,1024,0.5
moa_job_0,moa,moa_job_0_l0_agent_2,2048,128,1024,1024,0.5
moa_job_0,moa,moa_job_0_l0_agent_3,2048,128,1024,1024,0.5
moa_job_0,moa,moa_job_0_l1_agent_0,2560,128,1280,1280,0.5
moa_job_0,moa,moa_job_0_l1_agent_1,2560,128,1280,1280,0.5
moa_job_0,moa,moa_job_0_l1_agent_2,2560,128,1280,1280,0.5
moa_job_0,moa,moa_job_0_l1_agent_3,2560,128,1280,1280,0.5
moa_job_0,moa,moa_job_0_l2_agent_0,2560,64,1280,1280,0.5
moa_job_1,moa,moa_job_1_l0_agent_0,2048,128,1024,1024,0.5
moa_job_1,moa,moa_job_1_l0_agent_1,2048,128,1024,1024,0.5
moa_job_1,moa,moa_job_1_l0_agent_2,2048,128,1024,1024,0.5
moa_job_1,moa,moa_job_1_l0_agent_3,2048,128,1024,1024,0.5
moa_job_1,moa,moa_job_1_l1_agent_0,2560,128,1280,1280,0.5
moa_job_1,moa,moa_job_1_l1_agent_1,2560,128,1280,1280,0.5
moa_job_1,moa,moa_job_1_l1_agent_2,2560,128,1280,1280,0.5
moa_job_1,moa,moa_job_1_l1_agent_3,2560,128,1280,1280,0.5
moa_job_1,moa,moa_job_1_l2_agent_0,2560,64,1280,1280,0.5
moa_job_2,moa,moa_job_2_l0_agent_0,2048,128,1024,1024,0.5
moa_job_2,moa,moa_job_2_l0_agent_1,2048,128,1024,1024,0.5
moa_job_2,moa,moa_job_2_l0_agent_2,2048,128,1024,1024,0.5
moa_job_2,moa,moa_job_2_l0_agent_3,2048,128,1024,1024,0.5
moa_job_2,moa,moa_job_2_l1_agent_0,2560,128,1280,1280,0.5
moa_job_2,moa,moa_job_2_l1_agent_1,2560,128,1280,1280,0.5
moa_job_2,moa,moa_job_2_l1_agent_2,2560,128,1280,1280,0.5
moa_job_2,moa,moa_job_2_l1_agent_3,2560,128,1280,1280,0.5
moa_job_2,moa,moa_job_2_l2_agent_0,2560,64,1280,1280,0.5
moa_job_3,moa,moa_job_3_l0_agent_0,2048,128,1024,1024,0.5
moa_job_3,moa,moa_job_3_l0_agent_1,2048,128,1024,1024,0.5
moa_job_3,moa,moa_job_3_l0_agent_2,2048,128,1024,1024,0.5
moa_job_3,moa,moa_job_3_l0_agent_3,2048,128,1024,1024,0.5
moa_job_3,moa,moa_job_3_l1_agent_0,2560,128,1280,1280,0.5
moa_job_3,moa,moa_job_3_l1_agent_1,2560,128,1280,1280,0.5
moa_job_3,moa,moa_job_3_l1_agent_2,2560,128,1280,1280,0.5
moa_job_3,moa,moa_job_3_l1_agent_3,2560,128,1280,1280,0.5
moa_job_3,moa,moa_job_3_l2_agent_0,2560,64,1280,1280,0.5
moa_job_4,moa,moa_job_4_l0_agent_0,2048,128,1024,1024,0.5
moa_job_4,moa,moa_job_4_l0_agent_1,2048,128,1024,1024,0.5
moa_job_4,moa,moa_job_4_l0_agent_2,2048,128,1024,1024,0.5
moa_job_4,moa,moa_job_4_l0_agent_3,2048,128,1024,1024,0.5
moa_job_4,moa,moa_job_4_l1_agent_0,2560,128,1280,1280,0.5
moa_job_4,moa,moa_job_4_l1_agent_1,2560,128,1280,1280,0.5
moa_job_4,moa,moa_job_4_l1_agent_2,2560,128,1280,1280,0.5
moa_job_4,moa,moa_job_4_l1_agent_3,2560,128,1280,1280,0.5
moa_job_4,moa,moa_job_4_l2_agent_0,2560,64,1280,1280,0.5
