kv_storage_precision,state_precision,num_shards,query_tile_size,reduction_topology,max_abs_error,mean_abs_error,relative_error,cosine_similarity,nan_or_inf_count
fp32,fp32,2,1,ring_reduce,4.470348358154297e-08,1.178705133497715e-08,1.6414715881061422e-07,1.0000000834738805,0
fp32,fp32,2,1,binary_tree_reduce,4.470348358154297e-08,1.178705133497715e-08,1.6414715881061422e-07,1.0000000834738805,0
fp32,fp32,2,2,ring_reduce,8.940696716308594e-08,1.8510036170482635e-08,2.887842769757007e-07,0.9999999242476025,0
fp32,fp32,2,2,binary_tree_reduce,8.940696716308594e-08,1.8510036170482635e-08,2.887842769757007e-07,0.9999999242476025,0
fp32,fp32,2,4,ring_reduce,5.960464477539063e-08,1.4857960195513442e-08,2.2460527656304727e-07,1.0000000317144822,0
fp32,fp32,2,4,binary_tree_reduce,5.960464477539063e-08,1.4857960195513442e-08,2.2460527656304727e-07,1.0000000317144822,0
fp32,fp32,2,8,ring_reduce,1.4901161193847656e-07,1.9082676772086415e-08,2.4435393252855656e-07,0.9999999849177305,0
fp32,fp32,2,8,binary_tree_reduce,1.4901161193847656e-07,1.9082676772086415e-08,2.4435393252855656e-07,0.9999999849177305,0
fp32,fp32,4,1,ring_reduce,4.470348358154297e-08,1.4864781405776739e-08,1.6906635329094194e-07,0.9999999067866291,0
fp32,fp32,4,1,binary_tree_reduce,3.725290298461914e-08,1.4551915228366852e-08,1.6448480855004242e-07,0.9999999067866291,0
fp32,fp32,4,2,ring_reduce,5.960464477539063e-08,1.6510512068634853e-08,1.966010024196053e-07,0.9999999343080568,0
fp32,fp32,4,2,binary_tree_reduce,5.960464477539063e-08,1.5479145076824352e-08,1.8361031671622385e-07,0.9999999343080568,0
fp32,fp32,4,4,ring_reduce,8.940696716308594e-08,1.503576640971005e-08,1.925339094677728e-07,1.0000000934474569,0
fp32,fp32,4,4,binary_tree_reduce,8.940696716308594e-08,1.679381966823712e-08,2.1518551973442959e-07,1.0000000934474569,0
fp32,fp32,4,8,ring_reduce,8.940696716308594e-08,1.6383296497224364e-08,2.1429709189002163e-07,1.0000000377034775,0
fp32,fp32,4,8,binary_tree_reduce,7.450580596923828e-08,1.561204499012092e-08,2.0632845450286318e-07,1.0000000377034775,0
fp32,fp32,8,1,ring_reduce,6.705522537231445e-08,1.745854660839541e-08,1.9059395962130092e-07,1.0000000052158864,0
fp32,fp32,8,1,binary_tree_reduce,4.470348358154297e-08,1.4253600966185331e-08,1.4617159613816228e-07,1.0000000052158864,0
fp32,fp32,8,2,ring_reduce,8.940696716308594e-08,1.4752004062756896e-08,1.8324170943505708e-07,1.0000000344879856,0
fp32,fp32,8,2,binary_tree_reduce,7.450580596923828e-08,1.4179022400639951e-08,1.6827646451916805e-07,0.9999999649910255,0
fp32,fp32,8,4,ring_reduce,5.960464477539063e-08,1.3443468560581096e-08,2.0235333142215185e-07,1.0000000104242643,0
fp32,fp32,8,4,binary_tree_reduce,8.940696716308594e-08,1.4765532796445768e-08,2.2726649224316606e-07,0.9999999504665315,0
fp32,fp32,8,8,ring_reduce,5.960464477539063e-08,1.4951183402445167e-08,1.6028824344401186e-07,0.9999998142045239,0
fp32,fp32,8,8,binary_tree_reduce,7.450580596923828e-08,1.436956154066138e-08,1.5600532247106089e-07,0.9999998768807028,0
fp32,fp32,16,1,ring_reduce,7.450580596923828e-08,1.635635271668434e-08,2.1123567773921462e-07,1.0000000678885879,0
fp32,fp32,16,1,binary_tree_reduce,5.960464477539063e-08,1.4435499906539917e-08,1.796411199131237e-07,1.0000000678885879,0
fp32,fp32,16,2,ring_reduce,5.960464477539063e-08,1.5907062334008515e-08,1.758859028284919e-07,1.0000000370315307,0
fp32,fp32,16,2,binary_tree_reduce,5.960464477539063e-08,1.5375917428173125e-08,1.6806950449087475e-07,0.9999999723933215,0
fp32,fp32,16,4,ring_reduce,4.470348358154297e-08,1.1395513865863904e-08,1.4568543299134018e-07,1.0000000397447144,0
fp32,fp32,16,4,binary_tree_reduce,3.725290298461914e-08,1.094986146199517e-08,1.424178082966119e-07,0.9999999443882462,0
fp32,fp32,16,8,ring_reduce,8.940696716308594e-08,1.3735871107201092e-08,1.8450545683060446e-07,0.9999999350026328,0
fp32,fp32,16,8,binary_tree_reduce,5.960464477539063e-08,1.2079908628948033e-08,1.5409977699213098e-07,1.0000000778020652,0
bf16,fp32,2,1,ring_reduce,2.9802322387695312e-08,9.677023626863956e-09,1.2086181297037097e-07,0.9999999879457471,0
bf16,fp32,2,1,binary_tree_reduce,2.9802322387695312e-08,9.677023626863956e-09,1.2086181297037097e-07,0.9999999879457471,0
bf16,fp32,2,2,ring_reduce,7.450580596923828e-08,1.7313141142949462e-08,2.401021530099759e-07,0.9999999507171511,0
bf16,fp32,2,2,binary_tree_reduce,7.450580596923828e-08,1.7313141142949462e-08,2.401021530099759e-07,0.9999999507171511,0
bf16,fp32,2,4,ring_reduce,7.450580596923828e-08,1.795660864445381e-08,2.1160964395251727e-07,1.000000001961257,0
bf16,fp32,2,4,binary_tree_reduce,7.450580596923828e-08,1.795660864445381e-08,2.1160964395251727e-07,1.000000001961257,0
bf16,fp32,2,8,ring_reduce,8.940696716308594e-08,1.8441824067849666e-08,2.6411909799348793e-07,0.9999999931417117,0
bf16,fp32,2,8,binary_tree_reduce,8.940696716308594e-08,1.8441824067849666e-08,2.6411909799348793e-07,0.9999999931417117,0
bf16,fp32,4,1,ring_reduce,2.9802322387695312e-08,1.0906660463660955e-08,1.2517374875045784e-07,0.9999998689255483,0
bf16,fp32,4,1,binary_tree_reduce,2.2351741790771484e-08,7.494236342608929e-09,9.309872373486938e-08,0.9999999664947831,0
bf16,fp32,4,2,ring_reduce,4.0978193283081055e-08,1.2129589777032379e-08,2.1062287662450868e-07,0.9999999433351601,0
bf16,fp32,4,2,binary_tree_reduce,4.0978193283081055e-08,1.1783072295656893e-08,2.0525378073479607e-07,0.9999999433351601,0
bf16,fp32,4,4,ring_reduce,5.960464477539063e-08,1.4677425497211516e-08,2.104988700748542e-07,0.9999999033906726,0
bf16,fp32,4,4,binary_tree_reduce,5.960464477539063e-08,1.4016222849022597e-08,1.9865821994659532e-07,0.9999999033906726,0
bf16,fp32,4,8,ring_reduce,5.960464477539063e-08,1.3727543546337984e-08,1.9275971898450687e-07,0.9999999565305416,0
bf16,fp32,4,8,binary_tree_reduce,5.587935447692871e-08,1.3483116845236509e-08,1.8897659309429922e-07,0.9999999565305416,0
bf16,fp32,8,1,ring_reduce,4.470348358154297e-08,1.845910446718335e-08,1.714282566404879e-07,1.0000000614074138,0
bf16,fp32,8,1,binary_tree_reduce,5.960464477539063e-08,1.83936208486557e-08,2.011608776542832e-07,1.0000001446058184,0
bf16,fp32,8,2,ring_reduce,7.450580596923828e-08,1.5217665350064635e-08,2.224145572016216e-07,1.000000127404281,0
bf16,fp32,8,2,binary_tree_reduce,7.450580596923828e-08,1.5232217265293002e-08,2.2521845686303894e-07,1.000000048832881,0
bf16,fp32,8,4,ring_reduce,2.086162567138672e-07,1.9038452592212707e-08,2.7365174878559813e-07,0.9999999353912682,0
bf16,fp32,8,4,binary_tree_reduce,2.2351741790771484e-07,1.9296294340165332e-08,2.889269681692488e-07,0.9999999353912682,0
bf16,fp32,8,8,ring_reduce,8.940696716308594e-08,1.1626525520114228e-08,1.7253695829539005e-07,1.0000000513251586,0
bf16,fp32,8,8,binary_tree_reduce,5.960464477539063e-08,1.1522104159666924e-08,1.6907019963737008e-07,1.0000000513251586,0
bf16,fp32,16,1,ring_reduce,3.3527612686157227e-08,1.2951204553246498e-08,1.6706092322185297e-07,1.0000000086597791,0
bf16,fp32,16,1,binary_tree_reduce,3.725290298461914e-08,1.7360434867441654e-08,2.2188960867640797e-07,1.000000111123489,0
bf16,fp32,16,2,ring_reduce,4.470348358154297e-08,1.2955297279404476e-08,1.8182329474760987e-07,1.000000065310756,0
bf16,fp32,16,2,binary_tree_reduce,3.3527612686157227e-08,1.0475559975020587e-08,1.5621990833397486e-07,1.000000065310756,0
bf16,fp32,16,4,ring_reduce,1.1920928955078125e-07,1.6123522073030472e-08,1.8534509327464928e-07,0.9999999666654058,0
bf16,fp32,16,4,binary_tree_reduce,1.4901161193847656e-07,1.6869307728484273e-08,2.1752528999784994e-07,0.9999999986105823,0
bf16,fp32,16,8,ring_reduce,7.450580596923828e-08,1.3336460824575624e-08,1.8813715743017603e-07,1.0000000306660413,0
bf16,fp32,16,8,binary_tree_reduce,5.960464477539063e-08,1.2159745210738038e-08,1.7385535902043962e-07,1.0000000306660413,0
