mode,shared_prefix_tokens,shared_kv_bytes,num_agents,decode_tokens_per_agent,ring_shards,reduction_topology,sram_total_bytes,sram_peak_region_bytes,local_sram_read_bytes,private_kv_write_bytes,payload_bytes,total_wire_bytes,max_directed_link_load_bytes,mean_active_link_load_bytes,network_latency_s,compute_latency_s,sram_latency_s,estimated_attention_stage_latency_s,attention_stage_latency_s,estimated_end_to_end_proxy_latency_s,estimated_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,setup_replication_payload_gib,setup_replication_wire_tib,steady_state_local_decode_read_gib,central_sram_read_bytes,central_query_payload_bytes,central_result_payload_bytes,central_compute_proxy_bytes,central_router_in_bytes,central_router_out_bytes,central_max_link_load_bytes,central_hotspot_ratio,central_compute_bytes_or_ops,central_region_queue_time_s,attention_stage_proxy_latency_s,query_bytes_sent,partial_bytes_returned,query_scatter_latency_s,local_shard_compute_latency_s,reduction_latency_s,local_suffix_latency_s,merge_latency_s,reduction_bytes,reduction_wire_bytes,reduction_byte_hops,query_scatter_byte_hops,partial_reduce_byte_hops,result_return_byte_hops,reduction_hops,reduction_edges,num_reduction_steps,setup_cycles,steady_state_cycles,max_reduction_link_load_bytes,query_tile_bytes,partial_state_bytes,online_state_bytes,state_vector_dim,state_dtype_bytes,scalar_state_bytes,query_dtype_bytes,packet_bytes,packet_model,shard_group_size,placement_unit,regions_per_shard,shard_bytes,shard_region_bytes,shard_bytes_per_region,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,agents,decode_tokens
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,570425344.0,1099511627776,268435456,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4707e-05,0.0062531,0.001515474,0.00644765,4.25,0.53125,1056.125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.000340928,0.00019455,3.1e-06,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,serpentine,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,selected_ring_reduce,4563402752.0,301989888.0,1099511627776,268435456,847773696.0,8933867520.0,285736960.0,40424739.90950226,0.002857591,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.244e-05,0.0031281,0.002857591,0.00332265,4.25,0.28125,1056.125,0.78955078125,0.00812530517578125,0.26611328125,7.068368544600939,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0031281,268435456.0,,0.002516723,0.003125,0.000340868,0.00019455,3.1e-06,579338240.0,4907335680.0,4907335680.0,4026531840.0,4907335680.0,0.0,36864,144,16,80,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,selected_ring,serpentine,16,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,570425344.0,1099511627776,268435456,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4647e-05,0.0062531,0.002196988,0.00644765,4.25,0.53125,1056.125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.001022442,0.00019455,3.1e-06,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,serpentine,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,binary_tree_reduce,4563402752.0,301989888.0,1099511627776,268435456,813694976.0,8115978240.0,251658240.0,38832431.77033493,0.003879952,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.244e-05,0.0031281,0.003879952,0.00332265,4.25,0.28125,1056.125,0.7578125,0.007381439208984375,0.234375,6.48062015503876,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0031281,268435456.0,,0.002516723,0.003125,0.001363229,0.00019455,3.1e-06,545259520.0,4089446400.0,4089446400.0,4026531840.0,4089446400.0,0.0,30720,102,4,80,1363149,136314880.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,binary_tree,serpentine,16,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,570425344.0,1099511627776,268435456,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4707e-05,0.0062531,0.001515474,0.00644765,4.25,0.53125,1056.125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.000340928,0.00019455,3.1e-06,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,diagonal,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,selected_ring_reduce,4563402752.0,301989888.0,1099511627776,268435456,847773696.0,6071255040.0,285736960.0,33917625.92178771,0.002857671,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.252e-05,0.0031281,0.002857671,0.00332265,4.25,0.28125,1056.125,0.78955078125,0.0055217742919921875,0.26611328125,8.424438687392055,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0031281,268435456.0,,0.002516733,0.003125,0.000340938,0.00019455,3.1e-06,579338240.0,2044723200.0,2044723200.0,4026531840.0,2044723200.0,0.0,15360,60,16,150,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,selected_ring,diagonal,16,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,570425344.0,1099511627776,268435456,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4647e-05,0.0062531,0.002196988,0.00644765,4.25,0.53125,1056.125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.001022442,0.00019455,3.1e-06,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,diagonal,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,binary_tree_reduce,4563402752.0,301989888.0,1099511627776,268435456,813694976.0,6207569920.0,251658240.0,33195561.069518715,0.003879962,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.245e-05,0.0031281,0.003879962,0.00332265,4.25,0.28125,1056.125,0.7578125,0.005645751953125,0.234375,7.581081081081082,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0031281,268435456.0,,0.002516733,0.003125,0.001363229,0.00019455,3.1e-06,545259520.0,2181038080.0,2181038080.0,4026531840.0,2181038080.0,0.0,16384,52,4,80,1363149,136314880.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,binary_tree,diagonal,16,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,536870912.0,1099511627776,268435456,440926208.0,5043126272.0,100663296.0,35021710.222222224,0.001347666,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4672e-05,0.0062531,0.001347666,0.00644765,4.25,0.5,1056.125,0.41064453125,0.004586696624755859,0.09375,2.874311258966628,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001006773,0.00625,0.000340893,0.00019455,3.1e-06,306708480.0,2828533760.0,2828533760.0,2214592512.0,2828533760.0,0.0,21248,83,8,105,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,random,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,selected_ring_reduce,4563402752.0,268435456.0,1099511627776,268435456,847773696.0,9815195648.0,234881024.0,47646580.81553398,0.003030641,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.2475e-05,0.0031281,0.003030641,0.00332265,4.25,0.25,1056.125,0.78955078125,0.008926868438720703,0.21875,4.929651193846483,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0031281,268435456.0,,0.002348951,0.003125,0.00068169,0.00019455,3.1e-06,579338240.0,5486673920.0,5486673920.0,4328521728.0,5486673920.0,0.0,41216,140,16,115,681575,68157440.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,selected_ring,random,16,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,536870912.0,1099511627776,268435456,406847488.0,4974968832.0,101711872.0,32946813.45695364,0.001688453,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4672e-05,0.0062531,0.001688453,0.00644765,4.25,0.5,1056.125,0.37890625,0.004524707794189453,0.0947265625,3.0871535462114026,"(0,9)->(0,10)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001006773,0.00625,0.00068168,0.00019455,3.1e-06,272629760.0,2760376320.0,2760376320.0,2214592512.0,2760376320.0,0.0,20736,79,3,105,681575,68157440.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,random,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,binary_tree_reduce,4563402752.0,268435456.0,1099511627776,268435456,813694976.0,9678880768.0,234881024.0,46984858.097087376,0.003371418,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.2465e-05,0.0031281,0.003371418,0.00332265,4.25,0.25,1056.125,0.7578125,0.00880289077758789,0.21875,4.999079139808245,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0031281,268435456.0,,0.002348951,0.003125,0.001022467,0.00019455,3.1e-06,545259520.0,5350359040.0,5350359040.0,4328521728.0,5350359040.0,0.0,40192,135,4,105,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,binary_tree,random,16,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,selected_ring_reduce,4563402752.0,570425344.0,1099511627776,268435456,440926208.0,3787456512.0,151519232.0,34431422.836363636,0.001515474,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4707e-05,0.0062531,0.001515474,0.00644765,4.25,0.53125,1056.125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.000340928,0.00019455,3.1e-06,306708480.0,1908408320.0,1908408320.0,1879048192.0,1908408320.0,0.0,14336,56,8,140,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,selected_ring,region_split,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,selected_ring_reduce,4563402752.0,301989888.0,1099511627776,268435456,847773696.0,8933867520.0,285736960.0,40424739.90950226,0.002857591,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.244e-05,0.0031281,0.002857591,0.00332265,4.25,0.28125,1056.125,0.78955078125,0.00812530517578125,0.26611328125,7.068368544600939,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0031281,268435456.0,,0.002516723,0.003125,0.000340868,0.00019455,3.1e-06,579338240.0,4907335680.0,4907335680.0,4026531840.0,4907335680.0,0.0,36864,144,16,80,340788,34078720.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,selected_ring,region_split,16,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,8,binary_tree_reduce,4563402752.0,570425344.0,1099511627776,268435456,406847488.0,3514826752.0,117440512.0,31952970.472727273,0.002196988,0.00644765,0.00644765,0.0062531,0.0062531,0.0062531,0.0062531,2.4647e-05,0.0062531,0.002196988,0.00644765,4.25,0.53125,1056.125,0.37890625,0.00319671630859375,0.109375,3.675417661097852,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0062531,134217728.0,,0.001174546,0.00625,0.001022442,0.00019455,3.1e-06,272629760.0,1635778560.0,1635778560.0,1879048192.0,1635778560.0,0.0,12288,40,3,80,1022362,102236160.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1]","[536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912, 536870912]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]","[536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0, 536870912.0]",8,256,binary_tree,region_split,8,False,not_modeled_for_performance,8,256
KVRing-v2-query-tiled-parallel,32768,4294967296,8,256,16,binary_tree_reduce,4563402752.0,301989888.0,1099511627776,268435456,813694976.0,8115978240.0,251658240.0,38832431.77033493,0.003879952,0.00332265,0.00332265,0.0031281,0.0031281,0.0031281,0.0031281,1.244e-05,0.0031281,0.003879952,0.00332265,4.25,0.28125,1056.125,0.7578125,0.007381439208984375,0.234375,6.48062015503876,"(0,0)->(1,0)",1.0,,,,,,,,,,,,,,0.0031281,268435456.0,,0.002516723,0.003125,0.001363229,0.00019455,3.1e-06,545259520.0,4089446400.0,4089446400.0,4026531840.0,4089446400.0,0.0,30720,102,4,80,1363149,136314880.0,65536,133120,133120,4096,4,2048,2,198656,"R*hidden_dim*dtype + FP32(m,l,z) online-softmax state","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",region_group,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456, 268435456]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]","[268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0, 268435456.0]",8,256,binary_tree,region_split,16,False,not_modeled_for_performance,8,256
